department,region
0,FRANCE
1,AUVERGNE-RHÔNE-ALPES
2,HAUTS-DE-FRANCE
3,AUVERGNE-RHÔNE-ALPES
4,PACA
5,PACA
6,PACA
7,AUVERGNE-RHÔNE-ALPES
8,GRAND EST
9,OCCITANIE
10,GRAND EST
11,OCCITANIE
12,OCCITANIE
13,PACA
14,NORMANDIE
15,AUVERGNE-RHÔNE-ALPES
16,NOUVELLE AQUITAINE
17,NOUVELLE AQUITAINE
18,CENTRE-VAL DE LOIRE
19,NOUVELLE AQUITAINE
20,CORSE
21,BOURGOGNE-FRANCHE-COMTÉ
22,BRETAGNE
23,NOUVELLE AQUITAINE
24,NOUVELLE AQUITAINE
25,BOURGOGNE-FRANCHE-COMTÉ
26,AUVERGNE-RHÔNE-ALPES
27,NORMANDIE
28,CENTRE-VAL DE LOIRE
29,BRETAGNE
30,OCCITANIE
31,OCCITANIE
32,OCCITANIE
34,OCCITANIE
35,BRETAGNE
36,CENTRE-VAL DE LOIRE
37,CENTRE-VAL DE LOIRE
38,AUVERGNE-RHÔNE-ALPES
39,BOURGOGNE-FRANCHE-COMTÉ
40,NOUVELLE AQUITAINE
41,CENTRE-VAL DE LOIRE
42,AUVERGNE-RHÔNE-ALPES
43,AUVERGNE-RHÔNE-ALPES
44,PAYS DE LA LOIRE
45,CENTRE-VAL DE LOIRE
46,OCCITANIE
47,NOUVELLE AQUITAINE
48,OCCITANIE
49,PAYS DE LA LOIRE
50,NORMANDIE
51,GRAND EST
52,GRAND EST
53,PAYS DE LA LOIRE
54,GRAND EST
55,GRAND EST
56,BRETAGNE
57,GRAND EST
58,BOURGOGNE-FRANCHE-COMTÉ
59,HAUTS-DE-FRANCE
60,HAUTS-DE-FRANCE
61,NORMANDIE
62,HAUTS-DE-FRANCE
63,AUVERGNE-RHÔNE-ALPES
64,NOUVELLE AQUITAINE
65,OCCITANIE
66,OCCITANIE
67,GRAND EST
68,GRAND EST
69,AUVERGNE-RHÔNE-ALPES
70,BOURGOGNE-FRANCHE-COMTÉ
71,BOURGOGNE-FRANCHE-COMTÉ
72,PAYS DE LA LOIRE
73,AUVERGNE-RHÔNE-ALPES
74,AUVERGNE-RHÔNE-ALPES
75,ILE-DE-FRANCE
76,NORMANDIE
77,ILE-DE-FRANCE
78,ILE-DE-FRANCE
79,NOUVELLE AQUITAINE
80,HAUTS-DE-FRANCE
81,OCCITANIE
82,OCCITANIE
83,PACA
84,PACA
85,PAYS DE LA LOIRE
86,NOUVELLE AQUITAINE
87,NOUVELLE AQUITAINE
88,GRAND EST
89,BOURGOGNE-FRANCHE-COMTÉ
90,BOURGOGNE-FRANCHE-COMTÉ
91,ILE-DE-FRANCE
92,ILE-DE-FRANCE
93,ILE-DE-FRANCE
94,ILE-DE-FRANCE
95,ILE-DE-FRANCE
974,LA REUNION
972,MARTINIQUE
