production,year,key
alfalfa,1,n_1
alfalfa,2,n_2
alfalfa,3,n_3
apple,1,n_1
apple,2,n_2
apple,3,n_3
apricot,1,n_1
apricot,2,n_2
apricot,3,n_3
avocado,1,n_1
avocado,2,n_2
avocado,3,n_3
banana,1,n_1
banana,2,n_2
banana,3,n_3
bilberry,1,n_1
bilberry,2,n_2
bilberry,3,n_3
birds_foot_trefoil,1,n_1
birds_foot_trefoil,2,n_2
birds_foot_trefoil,3,n_3
black_elderberry,1,n_1
black_elderberry,2,n_2
black_elderberry,3,n_3
blackberry,1,n_1
blackberry,2,n_2
blackberry,3,n_3
blackcurrant,1,n_1
blackcurrant,2,n_2
blackcurrant,3,n_3
bromus,1,n_1
bromus,2,n_2
bromus,3,n_3
caraway,1,n_1
caraway,2,n_2
caraway,3,n_3
carob,1,n_1
carob,2,n_2
carob,3,n_3
cherry,1,n_1
cherry,2,n_2
cherry,3,n_3
cherry_laurel,1,n_1
cherry_laurel,2,n_2
cherry_laurel,3,n_3
chesnut,1,n_1
chesnut,2,n_2
chesnut,3,n_3
citrus,1,n_1
citrus,2,n_2
citrus,3,n_3
clementine,1,n_1
clementine,2,n_2
clementine,3,n_3
clover,1,n_1
clover,2,n_2
clover,3,n_3
cocksfoot,1,n_1
cocksfoot,2,n_2
cocksfoot,3,n_3
cocoa,1,n_1
cocoa,2,n_2
cocoa,3,n_3
coffee,1,n_1
coffee,2,n_2
coffee,3,n_3
cranberry,1,n_1
cranberry,2,n_2
cranberry,3,n_3
dehydrated_alfalfa,1,n_1
dehydrated_alfalfa,2,n_2
dehydrated_alfalfa,3,n_3
dehydrated_clover,1,n_1
dehydrated_clover,2,n_2
dehydrated_clover,3,n_3
eucalyptus,1,n_1
eucalyptus,2,n_2
eucalyptus,3,n_3
fallow,1,n_1
fallow,2,n_2
fallow,3,n_3
fescue,1,n_1
fescue,2,n_2
fescue,3,n_3
festulolium,1,n_1
festulolium,2,n_2
festulolium,3,n_3
fig,1,n_1
fig,2,n_2
fig,3,n_3
giant_granadilla,1,n_1
giant_granadilla,2,n_2
giant_granadilla,3,n_3
grapefruit,1,n_1
grapefruit,2,n_2
grapefruit,3,n_3
guava,1,n_1
guava,2,n_2
guava,3,n_3
hazelnut,1,n_1
hazelnut,2,n_2
hazelnut,3,n_3
kiwi,1,n_1
kiwi,2,n_2
kiwi,3,n_3
lavandin,1,n_1
lavandin,2,n_2
lavandin,3,n_3
lavender,1,n_1
lavender,2,n_2
lavender,3,n_3
lemon,1,n_1
lemon,2,n_2
lemon,3,n_3
leguminous_mix,1,n_1
leguminous_mix,2,n_2
leguminous_mix,3,n_3
longan,1,n_1
longan,2,n_2
longan,3,n_3
mandarin,1,n_1
mandarin,2,n_2
mandarin,3,n_3
meadow,1,n_1
meadow,2,n_2
meadow,3,n_3
miscanthus,1,n_1
miscanthus,2,n_2
miscanthus,3,n_3
mulberry,1,n_1
mulberry,2,n_2
mulberry,3,n_3
nectarine,1,n_1
nectarine,2,n_2
nectarine,3,n_3
oak,1,n_1
oak,2,n_2
oak,3,n_3
olive,1,n_1
olive,2,n_2
olive,3,n_3
orange,1,n_1
orange,2,n_2
orange,3,n_3
orchard,1,n_1
orchard,2,n_2
orchard,3,n_3
oregano,1,n_1
oregano,2,n_2
oregano,3,n_3
peach,1,n_1
peach,2,n_2
peach,3,n_3
pear,1,n_1
pear,2,n_2
pear,3,n_3
perennial_vegetable,1,n_1
perennial_vegetable,2,n_2
perennial_vegetable,3,n_3
perrenial_ornamental_plant_and_mapp,1,n_1
perrenial_ornamental_plant_and_mapp,2,n_2
perrenial_ornamental_plant_and_mapp,3,n_3
persimmon,1,n_1
persimmon,2,n_2
persimmon,3,n_3
phacelia,1,n_1
phacelia,2,n_2
phacelia,3,n_3
pineapple,1,n_1
pineapple,2,n_2
pineapple,3,n_3
pistachio,1,n_1
pistachio,2,n_2
pistachio,3,n_3
plum,1,n_1
plum,2,n_2
plum,3,n_3
quince,1,n_1
quince,2,n_2
quince,3,n_3
raspberry,1,n_1
raspberry,2,n_2
raspberry,3,n_3
redcurrant,1,n_1
redcurrant,2,n_2
redcurrant,3,n_3
rhubarb,1,n_1
rhubarb,2,n_2
rhubarb,3,n_3
rosemary,1,n_1
rosemary,2,n_2
rosemary,3,n_3
rough_bluegrass,1,n_1
rough_bluegrass,2,n_2
rough_bluegrass,3,n_3
ryegrass,1,n_1
ryegrass,2,n_2
ryegrass,3,n_3
thyme,1,n_1
thyme,2,n_2
thyme,3,n_3
timothy,1,n_1
timothy,2,n_2
timothy,3,n_3
valerian,1,n_1
valerian,2,n_2
valerian,3,n_3
vanilla,1,n_1
vanilla,2,n_2
vanilla,3,n_3
vine,3,n_3_4_leaf
vine,2,n_2_3_leaf
vine,4,n_4_5_leaf
walnut,1,n_1
walnut,2,n_2
walnut,3,n_3
ylang_ylang,1,n_1
ylang_ylang,2,n_2
ylang_ylang,3,n_3
milk_cow,1,n_1
milk_cow,2,n_2
milk_cow,3,n_3
meat_cow,1,n_1
meat_cow,2,n_2
meat_cow,3,n_3
heifer,1,n_1
heifer,2,n_2
heifer,3,n_3
young_bull,1,n_1
young_bull,2,n_2
young_bull,3,n_3
calf,1,n_1
calf,2,n_2
calf,3,n_3
